Contract Count,ID,LGA,Population,SEIFA,TargetedGroup,Service,Agency,Indigenous,Year
1,G1415KF2,Albury,51082,57,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Berrigan,8413,32,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Bland,5994,51,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Boorowa,2602,49,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Carrathool,2795,50,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Conargo,1535,82,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Coolamon,4308,52,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Cootamundra,7749,21,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Corowa,11455,38,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Deniliquin,7437,21,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Greater Hume,10258,63,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Griffith,25811,48,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Gundagai,3755,42,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Harden,3751,23,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Hay,2989,14,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Jerilderie,1519,66,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Junee,6297,23,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Leeton,11595,33,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Lockhart,3080,67,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Murray,7466,56,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Murrumbidgee,2528,17,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Narrandera,5961,12,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Temora,6050,30,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Tumbarumba,3578,39,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Tumut,11375,27,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Urana,1147,20,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Wagga Wagga,62799,71,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Wakool,3990,54,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF2,Young,12641,28,129 Other specified communities,A07.9 Service & community dev. (general),Health,Indigenous,"""2014"""
1,G1415KF6,Broken Hill,19048,6,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF6,Central Darling,2065,2,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Bathurst,41682,68,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Blayney,7409,60,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Bogan,3076,26,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Bourke,2973,25,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Brewarrina,1931,1,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Cabonne,13776,73,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Cobar,5111,39,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Coonamble,4292,4,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Cowra,12574,16,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Dubbo,41573,54,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Forbes,9759,29,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Gilgandra,4440,11,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Lachlan,6775,26,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Mid-Western,24017,47,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Narromine,6854,19,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Oberon,5327,52,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Orange,41431,59,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Parkes,15217,24,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Walgett,6840,2,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Warren,2921,32,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Warrumbungle,9786,10,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Weddin,3709,34,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,G1415KF7,Wellington,9054,7,120 Rural/remote communities,A09.3 Health Support,Health,Indigenous,"""2014"""
1,NM1416KF1,Kiama,21314,84,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF1,Shellharbour,68762,53,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF1,Shoalhaven,99016,41,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF1,Wingecarribee,47584,78,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF1,Wollongong,206794,65,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,Auburn,85446,41,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,Blacktown,332424,61,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,Blue Mountains,79688,82,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,Hawkesbury,65527,77,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,Holroyd,111100,60,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,Parramatta,189932,73,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,Penrith,194134,71,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF10,The Hills,187703,97,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF11,Bankstown,200357,44,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF11,Camden,67084,87,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF11,Campbelltown,156572,38,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF11,Fairfield,203109,4,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF11,Liverpool,199928,58,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF11,Wollondilly,47084,81,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Bathurst,41682,68,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Blayney,7409,60,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Bogan,3076,26,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Bourke,2973,25,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Brewarrina,1931,1,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Broken Hill,19048,6,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Cabonne,13776,73,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Central Darling,2065,2,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Cobar,5111,39,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Coonamble,4292,4,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Cowra,12574,16,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Dubbo,41573,54,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Forbes,9759,29,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Gilgandra,4440,11,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Lachlan,6775,26,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Mid-Western,24017,47,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Narromine,6854,19,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Orange,41431,59,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Parkes,15217,24,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Unincorporated NSW,1122,76,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Walgett,6840,2,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Warren,2921,32,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF12,Warrumbungle,9786,10,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Ashfield,44498,80,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Botany Bay,44742,69,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Burwood,36053,79,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Canada Bay,87480,90,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Canterbury,150626,34,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Hornsby,168614,93,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Hunters Hill,14689,95,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Hurstville,85886,78,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Kogarah,61030,86,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Ku-Ring-Gai,120978,100,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Lane Cove,34807,99,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Leichhardt,58136,93,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Marrickville,83356,83,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Mosman,30276,99,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,North Sydney,71025,97,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Pittwater,63338,95,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Randwick,143776,88,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Rockdale,108072,75,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Ryde,114598,89,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Strathfield,39481,84,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Sutherland,225070,89,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Sydney City,198331,85,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Warringah,155289,91,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Waverley,71769,92,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Willoughby,74166,94,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF2,Woollahra,58619,98,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Cessnock,54979,19,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Dungog,9108,63,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Gloucester,5064,31,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Gosford,171992,75,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Lake Macquarie,202676,69,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Lithgow,21249,15,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Maitland,75170,70,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Muswellbrook,17045,51,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Newcastle,160021,72,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Port Stephens,69728,58,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Upper Hunter,14658,56,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF4,Wyong,159015,37,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Bega Valley,33468,47,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Bombala,2422,30,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Boorowa,2602,49,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Cooma-Monaro,10216,62,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Eurobodalla,37643,35,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Goulburn Mulwaree,29376,40,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Harden,3751,23,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Oberon,5327,52,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Palerang,15510,91,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Queanbeyan,40858,86,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Snowy River,8069,80,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Upper Lachlan,7761,74,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Weddin,3709,34,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Yass Valley,16433,88,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF5,Young,12641,28,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF6,Ballina,41644,65,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF6,Byron,32119,64,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF6,Clarence Valley,51003,9,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF6,Kyogle,9531,8,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF6,Lismore,44629,43,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF6,Richmond Valley,22983,5,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF6,Tweed,91210,45,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Armidale Dumaresq,25327,67,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Glen Innes Severn,8966,13,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Gunnedah,12826,28,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Gwydir,5080,25,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Inverell,16846,12,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Moree Plains,14092,15,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Narrabri,13764,36,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Tamworth,60495,45,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Tenterfield,6980,10,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Uralla,6408,62,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF7,Walcha,3098,55,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF8,Port Macquarie-Hastings,77481,49,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Albury,51082,57,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Balranald,2400,22,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Berrigan,8413,32,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Bland,5994,51,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Carrathool,2795,50,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Conargo,1535,82,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Coolamon,4308,52,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Cootamundra,7749,21,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Corowa,11455,38,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Deniliquin,7437,21,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Greater Hume,10258,63,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Griffith,25811,48,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Gundagai,3755,42,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Hay,2989,14,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Jerilderie,1519,66,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Junee,6297,23,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Leeton,11595,33,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Lockhart,3080,67,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Murray,7466,56,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Murrumbidgee,2528,17,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Narrandera,5961,12,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Temora,6050,30,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Tumbarumba,3578,39,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Tumut,11375,27,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Urana,1147,20,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Wagga Wagga,62799,71,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Wakool,3990,54,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,NM1416KF9,Wentworth,6884,43,219 Families (other special needs),A02.2 Child protection,Health,Non Indigenous,"""2014"""
1,G1415SE16,Botany Bay,44742,69,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Hurstville,85886,78,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Kogarah,61030,86,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Randwick,143776,88,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Rockdale,108072,75,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Sutherland,225070,89,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Sydney City,198331,85,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Unincorporated NSW,1122,76,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Waverley,71769,92,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE16,Woollahra,58619,98,334 Chronic conditions (ongoing),A05.9 Residential care (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Botany Bay,44742,69,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Hurstville,85886,78,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Kogarah,61030,86,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Randwick,143776,88,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Rockdale,108072,75,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Sutherland,225070,89,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Sydney City,198331,85,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Unincorporated NSW,1122,76,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Waverley,71769,92,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE19,Woollahra,58619,98,399 Other individuals (special needs),A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE22,Botany Bay,44742,69,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Hurstville,85886,78,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Kogarah,61030,86,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Randwick,143776,88,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Rockdale,108072,75,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Sutherland,225070,89,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Sydney City,198331,85,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Unincorporated NSW,1122,76,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Waverley,71769,92,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE22,Woollahra,58619,98,423 Service provider NGOs,A09.2 Preventative Health Service,Health,Indigenous,"""2014"""
1,G1415SE23,Botany Bay,44742,69,397 Victims of Crime,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE23,Hurstville,85886,78,397 Victims of Crime,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE23,Kogarah,61030,86,397 Victims of Crime,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE23,Randwick,143776,88,397 Victims of Crime,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE23,Rockdale,108072,75,397 Victims of Crime,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE23,Sutherland,225070,89,397 Victims of Crime,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
1,G1415SE23,Sydney City,198331,85,397 Victims of Crime,A07.9 Service & community dev. (general),Health,Non Indigenous,"""2014"""
